AÑO;PROVINCIA
2023;NAPO
2023;MANABI
2023;GUAYAS
2023;MANABI
2023;CHIMBORAZO
2023;SANTA ELENA
2023;EL ORO
2023;COTOPAXI
2023;AZUAY
2023;ESMERALDAS
2023;AZUAY
2023;LOS RIOS
2023;MORONA SANTIAGO
2023;TUNGURAHUA
2023;MORONA SANTIAGO
2023;CHIMBORAZO
2023;PICHINCHA
2023;COTOPAXI
2023;GUAYAS
2023;GUAYAS
2023;GUAYAS
2023;GUAYAS
2023;MANABI
2023;CAÑAR
2023;ZAMORA CHINCHIPE
2023;LOJA
2023;GUAYAS
2023;AZUAY
2023;IMBABURA
2023;GUAYAS
2023;GUAYAS
2023;TUNGURAHUA
2023;COTOPAXI
2023;COTOPAXI
2023;MANABI
2023;TUNGURAHUA
2023;IMBABURA
2023;MANABI
2023;CHIMBORAZO
2023;EL ORO
2023;GUAYAS
2023;GUAYAS
2023;GUAYAS
2023;GUAYAS
2023;GUAYAS
2023;TUNGURAHUA
2023;MANABI
2023;GUAYAS
2023;EL ORO
2023;ORELLANA
2023;TUNGURAHUA
2023;LOS RIOS
2023;GUAYAS
2023;LOS RIOS
2023;CHIMBORAZO
2023;SUCUMBIOS
2023;PASTAZA
2023;ESMERALDAS
2023;IMBABURA
2023;EL ORO
2023;SUCUMBIOS
2023;MORONA SANTIAGO
2023;ZAMORA CHINCHIPE
2023;ZAMORA CHINCHIPE
2023;GUAYAS
2023;GUAYAS
2023;COTOPAXI
2023;PASTAZA
2023;CHIMBORAZO
2023;CHIMBORAZO
2023;MORONA SANTIAGO
2023;TUNGURAHUA
2023;ESMERALDAS
2023;AZUAY
2023;ESMERALDAS
2023;GUAYAS
2023;MANABI
2023;GUAYAS
2023;TUNGURAHUA
2023;MANABI
2023;SUCUMBIOS
2023;GUAYAS
2023;TUNGURAHUA
2023;TUNGURAHUA
2023;LOJA
2023;PICHINCHA
2023;ZAMORA CHINCHIPE
2023;ORELLANA
2023;PICHINCHA
2023;GUAYAS
2023;ESMERALDAS
2023;ZAMORA CHINCHIPE
2023;IMBABURA
2023;TUNGURAHUA
2023;TUNGURAHUA
2023;PICHINCHA
2023;LOS RIOS
2023;IMBABURA
2023;MANABI
2023;ESMERALDAS
2023;SANTA ELENA
2023;GUAYAS
2023;GUAYAS
2023;PICHINCHA
2023;AZUAY
2023;EL ORO
2023;AZUAY
2023;AZUAY
2023;TUNGURAHUA
2023;MANABI
2023;GUAYAS
2023;GUAYAS
2023;IMBABURA
2023;PICHINCHA
2023;GUAYAS
2023;MANABI
2023;LOS RIOS
2023;MANABI
2023;PASTAZA
2023;COTOPAXI
2023;CHIMBORAZO
2023;MANABI
2023;BOLIVAR
2023;GALAPAGOS
2023;EL ORO
2023;SUCUMBIOS
2023;MANABI
2023;GUAYAS
2023;GUAYAS
2023;SANTA ELENA
2023;CAÑAR
2023;TUNGURAHUA
2023;CHIMBORAZO
2023;CHIMBORAZO
2023;CHIMBORAZO
2023;MANABI
2023;TUNGURAHUA
2023;MANABI
2023;EL ORO
2023;LOS RIOS
2023;TUNGURAHUA
2023;MANABI
2023;GUAYAS
2023;COTOPAXI
2023;MANABI
2023;TUNGURAHUA
2023;AZUAY
2023;LOS RIOS
2023;GUAYAS
2023;MANABI
2023;GUAYAS
2023;BOLIVAR
2023;ESMERALDAS
2023;NAPO
2023;ORELLANA
2023;CHIMBORAZO
2023;PICHINCHA
2023;SANTA ELENA
2023;PICHINCHA
2023;COTOPAXI
2023;PICHINCHA
2023;ESMERALDAS
2023;PICHINCHA
2023;SANTO DOMINGO DE LOS TSACHILAS
2023;IMBABURA
2023;AZUAY
2023;GALAPAGOS
2023;LOS RIOS
2023;ZAMORA CHINCHIPE
2023;LOJA
2023;SANTO DOMINGO DE LOS TSACHILAS
2023;MANABI
2023;GUAYAS
2023;GUAYAS
2023;BOLIVAR
2023;TUNGURAHUA
2023;EL ORO
2023;MANABI
2023;GUAYAS
2023;ZAMORA CHINCHIPE
2023;PICHINCHA
2023;MANABI
2023;PICHINCHA
2023;ZAMORA CHINCHIPE
2023;AZUAY
2023;COTOPAXI
2023;LOS RIOS
2023;GUAYAS
2023;GUAYAS
2023;LOS RIOS
2023;GUAYAS
2023;TUNGURAHUA
2023;MANABI
2023;MANABI
2023;GUAYAS
2023;PICHINCHA
2023;GUAYAS
2023;COTOPAXI
2023;MANABI
2023;PASTAZA
2023;SUCUMBIOS
2023;ORELLANA
2023;ZAMORA CHINCHIPE
2023;SUCUMBIOS
2023;GUAYAS
2023;AZUAY
2023;MORONA SANTIAGO
2023;IMBABURA
2023;GUAYAS
2023;GUAYAS
2023;GALAPAGOS
2023;LOJA
2023;GUAYAS
2023;BOLIVAR
2023;GUAYAS
2023;BOLIVAR
